node_id,score,type
31890,0.01943856278494975,Web
36652,0.01346739629298336,Web
18163,0.010760610716386763,Web
36628,0.009649240254007374,Web
35008,0.005277006853079495,Web
34114,0.0049901198664062335,Web
2347,0.004468617606745868,Web
37471,0.0043841438460932615,Web
35773,0.0036949722572389293,Web
37289,0.0034215603861999467,ML
36790,0.0033133827291651425,Web
36819,0.002985700413326999,Web
35876,0.0024705696743555793,Web
30809,0.0023227249415098783,Web
37107,0.0021403468931191372,Web
22666,0.0020482597453739372,Web
35523,0.0019645288027904167,Web
19222,0.001957212869842944,Web
37557,0.0019228288600686247,Web
15191,0.0019023406382981188,Web
