node_id,score,type
31890,0.03707694265588495,Web
19222,0.018144829649051952,Web
13638,0.011643697017423503,Web
35773,0.01015671325410571,Web
19253,0.007066553914708852,Web
10001,0.006968201922268647,Web
27803,0.0049670914061311685,Web
9051,0.004688218494674851,Web
33671,0.004413746135650474,Web
11051,0.003811247288348638,Web
22881,0.0036819216618842647,Web
25477,0.0034016624991898203,Web
14242,0.003193149435005842,Web
22642,0.0027205943398267017,Web
7027,0.0027084950570072947,Web
14954,0.0026788761370093225,ML
23589,0.0026513029866612036,ML
5629,0.0025735034345999693,Web
3712,0.0025225370568287358,Web
10595,0.002331343901478073,Web
