feature,importance
degree,0.3117650380722695
feature_252,0.09747747412676622
feature_82,0.03890130890313919
feature_35,0.03625282117273103
feature_179,0.02701931228834752
feature_73,0.022653566751580572
feature_234,0.0206866090447771
feature_24,0.016613476922572666
feature_147,0.011553706993478258
feature_46,0.010912790206871168
feature_245,0.01039269226371581
feature_81,0.010043870620570201
feature_150,0.009104485241729668
feature_231,0.008981056822607355
feature_114,0.0088897496168136
feature_128,0.00811061513698805
feature_85,0.007671333909794516
feature_211,0.007634191383130047
feature_230,0.0075668652841851865
feature_224,0.007546803319995902
feature_69,0.007435173596333061
feature_205,0.00738180927783736
feature_189,0.007346463598815966
feature_169,0.006648448057296975
feature_78,0.006573705324220999
feature_137,0.006536524377205433
feature_232,0.0057984009391648115
feature_66,0.005402087973732481
feature_104,0.005029194310387295
feature_28,0.004937218685698366
feature_90,0.00485110489545148
feature_77,0.004850278366074005
feature_194,0.004707824259253078
feature_96,0.004480356183031254
feature_63,0.00441180834340527
feature_220,0.003982664209824877
feature_236,0.003972755897859983
feature_22,0.0037713349726182423
feature_195,0.0037021562334688574
feature_16,0.0036323798726762887
feature_72,0.003536829914964734
feature_76,0.003502655226688871
feature_25,0.0034871665503825805
feature_255,0.0034784598109352145
feature_192,0.003348001817351224
feature_91,0.003268099216516553
feature_238,0.003144066114651256
feature_14,0.0031192999473926867
feature_247,0.0030031675371691414
feature_210,0.0029961545701355243
feature_8,0.0029446541001759583
feature_13,0.0027043109003493664
feature_151,0.0026891940464399914
feature_67,0.0026723881875477047
feature_17,0.002630655524595097
feature_15,0.002627961764952674
feature_61,0.002626721975064989
feature_93,0.0024145035925756462
feature_241,0.0023573478443779934
feature_19,0.002327706661494013
feature_163,0.002257795405159167
feature_41,0.0022382804775468905
feature_47,0.002227799730708804
feature_121,0.0022191710328391227
feature_107,0.0021788139345977676
feature_40,0.0021034845127798265
feature_138,0.0020924622100000796
feature_214,0.0020217575427803154
feature_49,0.002014840155460504
feature_44,0.001979965864536942
feature_239,0.00197842789353851
feature_159,0.0019298205036208352
feature_133,0.0019228599635082255
feature_37,0.0019225661174138472
feature_111,0.001911530241685263
feature_9,0.0018183597939988125
feature_246,0.00179053530076414
feature_5,0.001765133246680565
feature_182,0.0017236855198012942
feature_191,0.0017236716621537235
feature_135,0.0016414279992238625
feature_233,0.0016386217632372276
feature_250,0.001610111237121373
feature_242,0.0015901663724127418
feature_218,0.0015890314202010442
feature_30,0.0015574416393118373
feature_178,0.0015542753831655509
feature_125,0.001521271143161822
feature_200,0.0014719708771984332
feature_139,0.0014545358078828547
feature_203,0.001409567119078691
feature_225,0.0013928171989625738
feature_75,0.001392786911253098
feature_57,0.0013803748340545919
feature_141,0.0013697429335266988
feature_97,0.0013341890155105902
feature_55,0.001328302222606598
feature_1,0.0013138654243721646
feature_110,0.0012699386161129948
feature_209,0.0012460807214830776
feature_79,0.0012071255454975146
feature_45,0.0012036831954525895
feature_88,0.001191477396636828
feature_87,0.0011885051854881637
feature_18,0.0011880873348487338
feature_244,0.0011822166484545427
feature_127,0.001162416684791217
feature_101,0.0011603886169889788
feature_243,0.0011503730490957404
feature_153,0.0011226006005206272
feature_64,0.001119409809598855
feature_12,0.0010811976567976845
feature_124,0.001077843798329758
feature_92,0.0010732815607184779
feature_217,0.001072021855014501
feature_185,0.001060290233694828
feature_160,0.001055990723926762
feature_29,0.0010548605232526195
feature_237,0.0010466898351780887
feature_181,0.0010401098756016873
feature_240,0.0010366038111321683
feature_98,0.0010153498946293845
feature_39,0.0010012603224231551
feature_126,0.0009944972168093767
feature_50,0.0009935569185050288
feature_129,0.0009924796209775965
feature_173,0.0009873711860251026
feature_2,0.0009825504493484298
feature_7,0.0009542028419761299
feature_32,0.0009283418793863036
feature_80,0.0009283070700935116
feature_136,0.0009156196071673134
feature_134,0.0009130914691974883
feature_149,0.0009057904536408274
feature_113,0.000905366801930495
feature_112,0.0008933058653855003
feature_58,0.0008865905194844946
feature_226,0.0008745039472155677
feature_131,0.0008728077741588041
feature_166,0.0008652622345594239
feature_190,0.0008476027052414341
feature_227,0.0008450463389603384
feature_156,0.0008117126177083045
feature_164,0.0008041852384550651
feature_6,0.0007912094439446731
feature_43,0.0007503242790530332
feature_145,0.0007403619457933596
feature_60,0.0007364585043767412
feature_254,0.0007249836343852948
feature_0,0.0007244598612053057
feature_53,0.0007233348230391287
feature_152,0.0007124932713212905
feature_168,0.0007030853135011856
feature_71,0.0006849140758427241
feature_65,0.0006654236600076129
feature_42,0.0006529856559046433
feature_68,0.0006466826000279004
feature_201,0.0006307574271231274
feature_10,0.0006304828823236773
feature_199,0.0006293398978544569
feature_228,0.0006268443117273062
feature_116,0.0006226590096755636
feature_144,0.0006120743609296476
feature_229,0.000609051127587109
feature_11,0.0005948389641255952
feature_223,0.0005928505085915005
feature_54,0.000592080918095914
feature_36,0.0005915091975586738
feature_106,0.0005890660970557832
feature_148,0.0005790886937356592
feature_132,0.0005711659016885538
feature_51,0.0005618363281870218
feature_115,0.000553311236094048
feature_184,0.0005527428345336054
feature_162,0.0005476970241847252
feature_222,0.0005398061898788662
feature_48,0.0005236951085333228
feature_180,0.0005007889771369473
feature_52,0.0004931375493241162
feature_219,0.0004925112847459804
feature_235,0.00048394578289083344
feature_74,0.000471392265848777
feature_212,0.00047024381742303314
feature_21,0.00046860335526628465
feature_208,0.0004607098397122991
feature_108,0.0004376541922770557
feature_221,0.00042684006209213476
feature_215,0.00042119412141988826
feature_100,0.00041783045853265835
feature_20,0.0004148421687317925
feature_27,0.00041411932708952366
feature_56,0.000413578933749011
feature_34,0.0004061058782253511
feature_253,0.0004012518774318809
feature_143,0.0003949581113342723
feature_206,0.0003949101961002443
feature_213,0.0003912775558522235
feature_248,0.0003865401953134309
feature_105,0.00037951549705678346
feature_198,0.0003766660053178438
feature_38,0.0003679725584412654
feature_123,0.0003673940137617539
feature_183,0.0003669265742512226
feature_109,0.00035389274688520073
feature_130,0.0003469990937811348
feature_4,0.00033466953195482427
feature_167,0.0003334862635282398
feature_86,0.0003167787714231404
feature_204,0.00031309153647483844
feature_171,0.00029940401286063505
feature_33,0.00028630363320917055
feature_174,0.0002843935139500361
